id;name;department;municipality;years_works;type_person;rol
998;Orfein Gomez Henao;VALLE;TULUA;4;PREFERENTE;CANTANTE
999;Olga Cecilia Castillo Rico;VALLE;TULUA;8;PREFERENTE;OTRO
1000;Carlos Eduardo Teatin Cely;CASANARE;PORE;0;NO APLICA;POLITICO
1001;Diana Paola Grisales Marin;TOLIMA;FRESNO;7;PREFERENTE;ACTOR
1002;Neiro Humberto Romero Ayala;BOYACA;ZETAQUIRA;3;PREFERENTE;CANTANTE
1003;Beyer Orlando Rojas Parra;BOYACA;ZETAQUIRA;5;PREFERENTE;POLITICO
1004;Jose William Riaño Garcia;BOYACA;ZETAQUIRA;8;PREFERENTE;CANTANTE
1005;Nelson Efren Suarez Avila;BOYACA;ZETAQUIRA;9;PREFERENTE;CANTANTE
1006;Diego Leonel Pantoja Gutierrez;QUINDIO;MONTENEGRO;8;PREFERENTE;ACTOR
1007;Consuelo Gomez Rodriguez;BOYACA;PAJARITO;4;PREFERENTE;POLITICO
1008;Jairo Dario Triana Ramirez;CUNDINAMARCA;NOCAIMA;0;NO APLICA;POLITICO
1009;Iris Del Carmen Romero Aldana;SUCRE;SAN_PEDRO;7;PREFERENTE;POLITICO
1010;Jose Bernardo Guagas Pame;CAUCA;INZA;2;PREFERENTE;POLITICO
1011;Alvaro Curico Manuyama;AMAZONAS;LETICIA;9;PREFERENTE;POLITICO
1012;Romel Jair Curico Jordan;AMAZONAS;LETICIA;10;PREFERENTE;POLITICO
1013;Carmina Martinez Maricahua;AMAZONAS;LETICIA;12;PREFERENTE;OTRO
1014;Marcos Novoa Perez;CORDOBA;PUERTO_ESCONDIDO;13;PREFERENTE;OTRO
1015;Henry Cardozo Salcedo;META;MESETAS;4;PREFERENTE;CANTANTE
1016;Jairo Enrique Ortiz Marquez;NORTE_DE_SANTANDER;NO APLICA;0;NO PREFERENTE;POLITICO
1017;Maris Colombia Quiñones Landazuri;NARIÑO;BARBACOAS;2;PREFERENTE;OTRO
1018;Yorlenis Johana Palacios Preciado;NARIÑO;BARBACOAS;5;PREFERENTE;CANTANTE
1019;Edilberto Posada Restrepo;ANTIOQUIA;YARUMAL;0;NO APLICA;POLITICO
1020;Jhon Mario Velez Lopez;RISARALDA;BELEN_DE_UMBRIA;5;PREFERENTE;CANTANTE
1021;Pedro Antonio Semanate Ordoñez;CAUCA;NO APLICA;52;PREFERENTE;CANTANTE
1022;Samir Rafael Lopez Visbal;ATLANTICO;GALAPA;8;PREFERENTE;CANTANTE
1023;Teresa Del Carmen Mendez Jimenez;ATLANTICO;GALAPA;9;PREFERENTE;POLITICO
1024;Maria Araminta Bastidas Barrera;CASANARE;PORE;4;PREFERENTE;POLITICO
1025;Ana De Dios Gonzalez Caro;BOGOTA D.C.;BOGOTA._D.C.;84;PREFERENTE;CANTANTE
1026;Adriana Patricia Oyuela Lopez;RISARALDA;NO APLICA;61;PREFERENTE;POLITICO
1027;Victor Manuel Garcia Bayona;NORTE_DE_SANTANDER;HACARI;7;PREFERENTE;CANTANTE
1028;Ramon Del Carmen Duran Perez;NORTE_DE_SANTANDER;HACARI;10;PREFERENTE;ACTOR
1029;Maria Balbina Urrutia Lopez;META;PUERTO_RICO;11;PREFERENTE;CANTANTE
1030;Martin Aurelio Carrillo Cabarcas;MAGDALENA;PIVIJAY;12;PREFERENTE;POLITICO
1031;Jose Abelardo Escudero Ortiz;ANTIOQUIA;VALDIVIA;8;PREFERENTE;POLITICO
1032;Carlos Julio Sanchez Bautista;CUNDINAMARCA;NILO;2;PREFERENTE;CANTANTE
1033;Martha Cardozo Martinez;CUNDINAMARCA;NILO;3;PREFERENTE;CANTANTE
1034;Aleida Montoya Nieto;GUAVIARE;CALAMAR;3;PREFERENTE;POLITICO
1035;Nicandro Garcia Perez;BOYACA;PAYA;5;PREFERENTE;OTRO
1036;Yesid Farfan Garcia;VICHADA;SANTA_ROSALIA;1;PREFERENTE;POLITICO
1037;Martha Isabel Grass Garcia;SANTANDER;CURITI;6;PREFERENTE;OTRO
1038;Yaneth Del Carmen Perez Arevalo;NORTE_DE_SANTANDER;OCAÑA;14;PREFERENTE;CANTANTE
1039;Margareth Daniela Moreno Silva;BOYACA;SIACHOQUE;3;PREFERENTE;CANTANTE
1040;Pablo Jose Tibata Daza;BOYACA;SIACHOQUE;6;PREFERENTE;OTRO
1041;Rocio Mireya Prieto Sanabria;BOYACA;SIACHOQUE;9;PREFERENTE;POLITICO
1042;Ninfa Mireya Orjuela Chaux;CUNDINAMARCA;FUSAGASUGA;1;PREFERENTE;CANTANTE
1043;Esteban Cortes Daza;CUNDINAMARCA;FUSAGASUGA;4;PREFERENTE;POLITICO
1044;Luis Erney Lesmes Ferro;CUNDINAMARCA;FUSAGASUGA;17;PREFERENTE;OTRO
1045;Jhon De Jesus Palacios Romaña;ANTIOQUIA;VIGIA_DEL_FUERTE;6;PREFERENTE;OTRO
1046;Luisa Fernanda Rios Sanchez;BOLIVAR;BARRANCO_DE_LOBA;1;PREFERENTE;CANTANTE
1047;Alexis Centeno Amaris;BOLIVAR;BARRANCO_DE_LOBA;8;PREFERENTE;POLITICO
1048;Milton Fabian Parra Mora;NARIÑO;PASTO;2;PREFERENTE;POLITICO
1049;Noralba Herrera Vallejo;ANTIOQUIA;LA_PINTADA;3;PREFERENTE;OTRO
1050;Alcira Milena Mejia Astur;NARIÑO;GUALMATAN;2;PREFERENTE;OTRO
1051;Alvaro Julian Coral Palacios;NARIÑO;GUALMATAN;4;PREFERENTE;POLITICO
1052;Libardo Cruz Rodriguez;BOYACA;SAMACA;11;PREFERENTE;POLITICO
1053;Fernando Alonso Hinestroza Alvarez;ANTIOQUIA;CONCORDIA;1;PREFERENTE;CANTANTE
1054;Cecilia Del Socorro Arboleda De Perez;ANTIOQUIA;CONCORDIA;8;PREFERENTE;CANTANTE
1055;Jesus Enrique Medina Garcia;CASANARE;SAN_LUIS_DE_PALENQUE;1;PREFERENTE;POLITICO
1056;Durley Castañeda Lozano;TOLIMA;COYAIMA;5;PREFERENTE;POLITICO
1057;Humberto Nicolas Pertuz Fontalvo;ATLANTICO;PALMAR_DE_VARELA;13;PREFERENTE;ACTOR
1058;Hernan De Jesus Martinez Giraldo;CALDAS;CHINCHINA;10;PREFERENTE;OTRO
1059;Daniela Correa Mahecha;CALDAS;CHINCHINA;13;PREFERENTE;CANTANTE
1060;Nelson Hernandez Rodriguez;META;RESTREPO;2;PREFERENTE;CANTANTE
1061;Aladino Manuel Rosero Zambrano;PUTUMAYO;SIBUNDOY;8;PREFERENTE;POLITICO
1062;Abraham Prado Suarez;CAQUETA;EL_DONCELLO;8;PREFERENTE;POLITICO
1063;David Andres Arcila Jimenez;CUNDINAMARCA;FUNZA;7;PREFERENTE;POLITICO
1064;Durlandy Contreras Sanchez;BOYACA;SAN_LUIS_DE_GACENO;7;PREFERENTE;OTRO
1065;Aleyda Lorena Gamboa Goyeneche;NORTE_DE_SANTANDER;PAMPLONITA;6;PREFERENTE;CANTANTE
1066;Orlando Camargo Alfonso;BOYACA;TUNJA;6;PREFERENTE;POLITICO
1067;Farley Andres Saldaña Ortiz;HUILA;GIGANTE;3;PREFERENTE;POLITICO
1068;Elida Guisaquillo Falla;HUILA;GIGANTE;11;PREFERENTE;POLITICO
1069;Ana Mariceli Rinta Vargas;GUAVIARE;SAN_JOSE_DEL_GUAVIARE;1;PREFERENTE;CANTANTE
1070;Hector Fernando Ospina Moreno;GUAVIARE;SAN_JOSE_DEL_GUAVIARE;4;PREFERENTE;POLITICO
1071;Ana Patricia Bernal Romero;NARIÑO;IPIALES;12;PREFERENTE;ACTOR
1072;Aida Maribel Mena Gaon;NARIÑO;IPIALES;13;PREFERENTE;POLITICO
1073;Lin Maria Sanchez Orellano;ATLANTICO;GALAPA;5;PREFERENTE;ACTOR
1074;Ivan Roberto Cabrera Julio;ATLANTICO;GALAPA;11;PREFERENTE;POLITICO
1075;Ingris Del Carmen Ariza Meza;ATLANTICO;GALAPA;12;PREFERENTE;OTRO
1076;Edinson Delgado Perez;NORTE_DE_SANTANDER;TEORAMA;5;PREFERENTE;POLITICO
1077;Jhon Jairo Tovar Arango;META;LEJANIAS;4;PREFERENTE;POLITICO
1078;Eliberto Rojas Motta;HUILA;ELIAS;3;PREFERENTE;CANTANTE
1079;Julieth Bermeo Valenciano;HUILA;ELIAS;4;PREFERENTE;POLITICO
1080;Horacio Luis Guerra Calderon;CESAR;SAN_DIEGO;5;PREFERENTE;CANTANTE
1081;Amer De Dios Amaya Castilla;CESAR;SAN_DIEGO;9;PREFERENTE;POLITICO
1082;Luz Mireya Cutiva Alape;CAQUETA;PUERTO_RICO;1;PREFERENTE;CANTANTE
1083;Monica Alejandra Montes Vargas;CALDAS;CHINCHINA;5;PREFERENTE;OTRO
1084;Ingrid Johanna Tovar Cruz;TOLIMA;FALAN;7;PREFERENTE;OTRO
1085;Geovany Ernesto Vergara Triana;TOLIMA;FALAN;9;PREFERENTE;OTRO
1086;Alvaro Rojas Escalante;VALLE;LA_VICTORIA;1;PREFERENTE;CANTANTE
1087;Paola Andrea Dorado Rodriguez;NARIÑO;POLICARPA;11;PREFERENTE;CANTANTE
1088;Jairo De Jesus Lopera Lopera;CORDOBA;PUERTO_LIBERTADOR;4;PREFERENTE;OTRO
1089;Ledys Margot Hernandez Nuñez;ANTIOQUIA;CHIGORODO;4;PREFERENTE;CANTANTE
1090;Alvaro Luis Castro Castro;MAGDALENA;PLATO;1;PREFERENTE;OTRO
1091;Jaime Jose Bustamante Barrios;MAGDALENA;PLATO;5;PREFERENTE;CANTANTE
1092;Carlos Alberto Meza Navarro;SUCRE;CHALAN;0;NO PREFERENTE;OTRO
1093;Diaz Benavidez Oscar Javier;SANTANDER;SUAITA;2;PREFERENTE;POLITICO
1094;Erika Viviana Sierra Gamboa;SANTANDER;SUAITA;9;PREFERENTE;OTRO
1095;Esmeli Segundo Chavez Ruiz;SUCRE;COLOSO_(RICAURTE);1;PREFERENTE;CANTANTE
1096;Alis Del Pilar Sanchez Pertuz;MAGDALENA;PIVIJAY;6;PREFERENTE;POLITICO
1097;Jhon Jairo Martinez De La Hoz;MAGDALENA;PIVIJAY;11;PREFERENTE;POLITICO
1098;Rigoberto Ciceri Arrigui;HUILA;NO APLICA;0;NO APLICA;CANTANTE
1099;Lius Alberto Correa Gutierrez;CAQUETA;VALPARAISO;1;PREFERENTE;CANTANTE
1100;Mario Valencia Mendez;CAQUETA;VALPARAISO;2;PREFERENTE;POLITICO
1101;Fabian Andres Rodriguez;CAQUETA;VALPARAISO;3;PREFERENTE;CANTANTE
1102;Maria Salome Gomez De Perdomo;CAQUETA;VALPARAISO;9;PREFERENTE;POLITICO
1103;Victor Augusto Urrego Aguirre;ANTIOQUIA;CONCORDIA;12;PREFERENTE;CANTANTE
1104;Manuel Antonio Hernandez Riveros;CASANARE;YOPAL;10;PREFERENTE;POLITICO
1105;German Gutierrez Torres;CUNDINAMARCA;FUNZA;4;PREFERENTE;POLITICO
1106;Aura Yamile Bernal Morales;CUNDINAMARCA;FUNZA;9;PREFERENTE;OTRO
1107;Aura Maria Rodriguez Castaño;RISARALDA;BELEN_DE_UMBRIA;1;PREFERENTE;ACTOR
1108;Jaime Muñoz Valdes;HUILA;PITALITO;11;PREFERENTE;POLITICO
1109;Helaida Victoria Vides Villero;CESAR;SAN_DIEGO;10;PREFERENTE;POLITICO
1110;Diana Milena Marin Bolivar;RISARALDA;SANTUARIO;3;PREFERENTE;OTRO
1111;Reinerio Vanegas Murillo;CHOCO;NUQUI;9;PREFERENTE;CANTANTE
1112;Sabina Minotta Rivas;CHOCO;BAJO_BAUDO_(PIZARRO);6;PREFERENTE;CANTANTE
1113;Jhonny Rafael Cantillo Jimenez;MAGDALENA;PUEBLOVIEJO;5;PREFERENTE;CANTANTE
1114;Hilda Rosa Lopez Borja;MAGDALENA;PUEBLOVIEJO;6;PREFERENTE;POLITICO
1115;Luz Mery Prada Rincon;CUNDINAMARCA;VILLAGOMEZ;1;PREFERENTE;POLITICO
1116;Martha Liliana Mondragon Huertas;CUNDINAMARCA;VILLAGOMEZ;4;PREFERENTE;OTRO
1117;Yorman Josue Pacheco Bayona;NORTE_DE_SANTANDER;SAN_CALIXTO;10;PREFERENTE;POLITICO
1118;Parmenio Aguja;TOLIMA;COYAIMA;6;PREFERENTE;POLITICO
1119;Jorge William Maya Ramirez;CALDAS;CHINCHINA;3;PREFERENTE;CANTANTE
1120;Jose Gustavo Zuluaga Ramirez;CALDAS;CHINCHINA;5;PREFERENTE;POLITICO
1121;Benilda Rosa Palencia Martinez;SUCRE;SAN_MARCOS;5;PREFERENTE;OTRO
1122;Alberto Jose Buelvas Sanchez;SUCRE;SAN_MARCOS;13;PREFERENTE;CANTANTE
1123;Ricardo Andres Muñoz Hernandez;QUINDIO;CIRCASIA;5;PREFERENTE;POLITICO
1124;Jose Rodrigo Osorio Loaiza;QUINDIO;CIRCASIA;12;PREFERENTE;CANTANTE
1125;Gustavo Alberto Jaramillo Duque;META;GRANADA;7;PREFERENTE;POLITICO
1126;Luz Stella Hernandez Jaramillo;META;GRANADA;13;PREFERENTE;CANTANTE
1127;Nelson Fernando Carmona Lopera;ANTIOQUIA;LA_CEJA;1;PREFERENTE;POLITICO
1128;Carlos Eduardo Gonzalez Cano;ANTIOQUIA;LA_CEJA;4;PREFERENTE;CANTANTE
1129;Juan Guillermo Patiño Cifuentes;ANTIOQUIA;LA_CEJA;5;PREFERENTE;CANTANTE
1130;Albiria Ocampo Guarin;ANTIOQUIA;LA_CEJA;8;PREFERENTE;CANTANTE
1131;Gilberto Jaramillo Espinosa;ANTIOQUIA;LA_CEJA;13;PREFERENTE;POLITICO
1132;Francisco Nicanor Espinosa;CUNDINAMARCA;SAN_JUAN_DE_RIOSECO;4;PREFERENTE;CANTANTE
1133;Natalia Duque Alzate;ANTIOQUIA;LA_UNION;0;NO APLICA;POLITICO
1134;Magda Janethe Sanchez Lozano;CUNDINAMARCA;GACHANCIPA;3;PREFERENTE;POLITICO
1135;Luisa Fernanda Leandro Usaquen;CUNDINAMARCA;GACHANCIPA;11;PREFERENTE;POLITICO
1136;Amanda Canacue Ortiz;META;MESETAS;10;PREFERENTE;POLITICO
1137;Alvaro Andrade Barrera;SANTANDER;SURATA;2;PREFERENTE;OTRO
1138;Over Morelo Payares;CORDOBA;SAN_BERNARDO_DEL_VIENTO;3;PREFERENTE;OTRO
1139;Diego Parra Zuluaga;VALLE;YUMBO;1;PREFERENTE;ACTOR
1140;Lizandro Ferley Herreño;ARAUCA;SARAVENA;2;PREFERENTE;CANTANTE
1141;Luis Francisco Mendez Arevalo;ARAUCA;SARAVENA;7;PREFERENTE;CANTANTE
1142;Maria Nuria Giraldo Vanegas;ARAUCA;SARAVENA;9;PREFERENTE;POLITICO
1143;Luz Bercy Bravo Home;CAQUETA;SOLANO;10;PREFERENTE;OTRO
1144;Edilson Tascon Areisa;RISARALDA;PUEBLO_RICO;0;NO APLICA;OTRO
1145;Nubia Leonor Tenorio Quiñones;NARIÑO;MAGUI_(PAYAN);8;PREFERENTE;POLITICO
1146;Edwin David Quiñones Marinez;NARIÑO;MAGUI_(PAYAN);11;PREFERENTE;POLITICO
1147;Nilson Javier Andrade Hinestroza;CAUCA;GUAPI;1;PREFERENTE;POLITICO
1148;Edison Castro Cuero;CAUCA;GUAPI;6;PREFERENTE;POLITICO
1149;Daney Sinisterra Garcia;CAUCA;GUAPI;11;PREFERENTE;POLITICO
1150;Maribel Guzman Ramos;BOLIVAR;TALAIGUA_NUEVO;3;PREFERENTE;OTRO
1151;Jose Gregorio Acuña Davila;BOLIVAR;TALAIGUA_NUEVO;7;PREFERENTE;CANTANTE
1152;Guillermo Angel Diaz;RISARALDA;MARSELLA;3;PREFERENTE;CANTANTE
1153;Agustin Tamayo Bonilla;RISARALDA;MARSELLA;4;PREFERENTE;POLITICO
1154;Sergio Alberto Serna Roman;RISARALDA;MARSELLA;6;PREFERENTE;CANTANTE
1155;Patricia Marin Urrego;GUAVIARE;NO APLICA;51;PREFERENTE;CANTANTE
1156;Hernando Ricardo Arias Cuello;SUCRE;TOLUVIEJO;5;PREFERENTE;CANTANTE
1157;Wilmer Enrique Fuentes Corena;SUCRE;TOLUVIEJO;8;PREFERENTE;POLITICO
1158;Emiliano Larrota Conde;SANTANDER;PIEDECUESTA;17;PREFERENTE;OTRO
1159;Demetrio Jose Escamilla Atencio;BOLIVAR;ACHI;7;PREFERENTE;POLITICO
1160;Adriana Maria Rodriguez Hernandez;ANTIOQUIA;MUTATA;9;PREFERENTE;ACTOR
1161;Segundo Olegario Torres Gonzalez;NARIÑO;MAGUI_(PAYAN);0;NO APLICA;POLITICO
1162;Wilmar Valencia Sanchez;CAUCA;MORALES;5;PREFERENTE;POLITICO
1163;Rubiela Montenegro Huila;CAUCA;MORALES;8;PREFERENTE;POLITICO
1164;William Portilla Pabon;NORTE_DE_SANTANDER;SILOS;0;NO APLICA;CANTANTE
1165;Octavio Quintero Manrique;CUNDINAMARCA;EL_COLEGIO;2;PREFERENTE;ACTOR
1166;Lilia Isabel Molina Botello;CUNDINAMARCA;EL_COLEGIO;13;PREFERENTE;POLITICO
1167;Victor Hugo Arce;NORTE_DE_SANTANDER;CUCUTA;84;PREFERENTE;OTRO
1168;Edgar Buenaventura Martinez;CAQUETA;SOLITA;1;PREFERENTE;POLITICO
1169;Luis Enrique Castañeda Sanchez;CUNDINAMARCA;SAN_JUAN_DE_RIOSECO;7;PREFERENTE;ACTOR
1170;Jorge Ubaldo Gutierrez Hernadez;CUNDINAMARCA;BOJACA;9;PREFERENTE;CANTANTE
1171;Antonio Rafael Fernandez Padilla;ATLANTICO;SABANAGRANDE;6;PREFERENTE;POLITICO
1172;Romulo Noe Avila Holguin;GUAVIARE;ELRETORNO;4;PREFERENTE;CANTANTE
1173;Maria Orfilia Hernandez Alzate;GUAVIARE;ELRETORNO;6;PREFERENTE;POLITICO
1174;Arlis Esther Alvarez Ortega;CORDOBA;SAN_BERNARDO_DEL_VIENTO;4;PREFERENTE;CANTANTE
1175;Jose Maria Sanchez Ordoñez;CORDOBA;SAN_BERNARDO_DEL_VIENTO;5;PREFERENTE;CANTANTE
1176;Bruno Uran Cardona;ANTIOQUIA;URRAO;2;PREFERENTE;POLITICO
1177;Orlando De Jesus Montoya Vargas;ANTIOQUIA;URRAO;7;PREFERENTE;OTRO
1178;Luis Alfonso Jimenez Martinez;VICHADA;PUERTO_CARREÑO;2;PREFERENTE;POLITICO
1179;Diego Alejandro Sanchez Vahos;ANTIOQUIA;APARTADO;4;PREFERENTE;POLITICO
1180;Liris Cardales Herrera;ANTIOQUIA;APARTADO;11;PREFERENTE;OTRO
1181;Adalberto Agamez Urango;ANTIOQUIA;APARTADO;14;PREFERENTE;CANTANTE
1182;Mario Giraldo Ceballo;TOLIMA;VENADILLO;2;PREFERENTE;OTRO
1183;Alfonso Leon Lombana;CAQUETA;CURILLO;10;PREFERENTE;ACTOR
1184;Ruben Anselmo Bejarano Mendez;CUNDINAMARCA;UBALA;5;PREFERENTE;POLITICO
1185;Alejandro Arboleda Urrego;CUNDINAMARCA;UBALA;8;PREFERENTE;POLITICO
1186;Eduin Enrique Torrado Torrado;NORTE_DE_SANTANDER;ABREGO;1;PREFERENTE;ACTOR
1187;Elcy Karina Montiel Guzman;CAQUETA;CURILLO;7;PREFERENTE;CANTANTE
1188;Edirleny Quintero Ramos;CAQUETA;CURILLO;9;PREFERENTE;POLITICO
1189;Ancizar Arango Torres;CAQUETA;CURILLO;11;PREFERENTE;OTRO
1190;Santiago Gonzalez Ortiz;SANTANDER;ENCISO;1;PREFERENTE;OTRO
1191;Armando Jimenez Rodriguez;CUNDINAMARCA;UBALA;1;PREFERENTE;POLITICO
1192;Sandra Milena Ciprian Beltran;CUNDINAMARCA;UBALA;5;PREFERENTE;POLITICO
1193;Daniel Felipe Ibarra Fonseca;CUNDINAMARCA;UBALA;5;PREFERENTE;OTRO
1194;Laudith Pabon Arevalo;NORTE_DE_SANTANDER;ABREGO;0;NO PREFERENTE;ACTOR
1195;Maria Del Carmen Ortiz Sanchez;NORTE_DE_SANTANDER;ABREGO;0;NO PREFERENTE;OTRO
1196;Ingris Johana Pedraza Bislick;LA_GUAJIRA;MAICAO;16;PREFERENTE;POLITICO
1197;Luis Camilo Garzon Torres;CUNDINAMARCA;GUASCA;3;PREFERENTE;CANTANTE
1198;Mauricio Alejandro Toro Gonzalez;ANTIOQUIA;FREDONIA;0;NO APLICA;OTRO
1199;Diego Hidalgo Nieto;CESAR;MANAURE_BALCON_DEL_CESAR_(MANA;4;PREFERENTE;POLITICO
1200;Luis Abella Moyano;CUNDINAMARCA;NEMOCON;4;PREFERENTE;POLITICO
1201;Yeison Leonidas Forero Pineda;CUNDINAMARCA;NEMOCON;10;PREFERENTE;POLITICO
1202;Enid Carolina Millan Manjarres;TOLIMA;SUAREZ;4;PREFERENTE;OTRO
1203;Ana Silvia Velez Ramirez;VALLE;ANDALUCIA;10;PREFERENTE;OTRO
1204;Luis Angel Montero Alonso;CUNDINAMARCA;GACHANCIPA;2;PREFERENTE;OTRO
1205;Ronald Leonardo Ibañez Rodriguez;CUNDINAMARCA;GACHANCIPA;4;PREFERENTE;ACTOR
1206;Oscar Ivan Riaño Jimenez;CUNDINAMARCA;GACHANCIPA;11;PREFERENTE;CANTANTE
1207;Esteban Jose Perez Yanez;LA_GUAJIRA;MAICAO;6;PREFERENTE;CANTANTE
1208;Martin De Jesus Pacheco Hernandez;LA_GUAJIRA;MAICAO;12;PREFERENTE;POLITICO
1209;Jose Ramiro Fuentes Leon;SANTANDER;GIRON;4;PREFERENTE;OTRO
1210;Juan Francisco Cuadros Reyes;SANTANDER;GIRON;9;PREFERENTE;ACTOR
1211;Marcos Stalin Bautista Almeyda;SANTANDER;GIRON;11;PREFERENTE;POLITICO
1212;Maria Sonia Samboni Diaz;HUILA;PALESTINA;7;PREFERENTE;CANTANTE
1213;Myriam Cristina Juri;VALLE;NO APLICA;51;PREFERENTE;POLITICO
1214;Diana Patricia Moreno Cetina;VALLE;NO APLICA;61;PREFERENTE;CANTANTE
1215;Jorge Augusto Palacio Garzon;VALLE;NO APLICA;63;PREFERENTE;ACTOR
1216;Natalia Mera Ocampo;VALLE;NO APLICA;68;PREFERENTE;CANTANTE
1217;Norma Nancy Gonzalez Avila;SANTANDER;GIRON;6;PREFERENTE;OTRO
1218;Jesus David Mantilla Rueda;SANTANDER;GIRON;7;PREFERENTE;OTRO
1219;Juan Carlos Palomino Mendoza;SANTANDER;GIRON;14;PREFERENTE;POLITICO
1220;Zoa Elvira Garcia Padilla;BOLIVAR;ARJONA;15;PREFERENTE;OTRO
1221;Ivan Danilo Herrera Valderrama;CAQUETA;FLORENCIA;8;PREFERENTE;CANTANTE
1222;Segundo Gregorio Diaz Santos;SUCRE;LOS_PALMITOS;0;NO PREFERENTE;OTRO
1223;Byron Andres Zambrano Rosas;NARIÑO;SANDONA;0;NO APLICA;CANTANTE
1224;Alexander Garcia Diaz;SUCRE;LOS_PALMITOS;1;PREFERENTE;OTRO
1225;Octavio Andres Colorado Males;CAUCA;SANTANDER_DE_QUILICHAO;3;PREFERENTE;POLITICO
1226;Lorezo Mosquera Brand;CAUCA;SANTANDER_DE_QUILICHAO;13;PREFERENTE;CANTANTE
1227;Nilson David Monterroza Narvaez;SUCRE;LOS_PALMITOS;0;NO PREFERENTE;ACTOR
1228;Elena Del Carmen Rocha Retamoza;SUCRE;LOS_PALMITOS;0;NO PREFERENTE;POLITICO
1229;Jessica Alejandra Girlado;VALLE;SEVILLA;5;PREFERENTE;CANTANTE
1230;Never De Jesus Paternina Martinez;ANTIOQUIA;NECHI;4;PREFERENTE;CANTANTE
1231;Elsa Ines Hernandez Almanza;ANTIOQUIA;NECHI;10;PREFERENTE;CANTANTE
1232;Lina Rosa Herrera Morales;ANTIOQUIA;NECHI;13;PREFERENTE;CANTANTE
1233;Nancy Afanador Rodriguez;META;PUERTO_GAITAN;5;PREFERENTE;ACTOR
1234;Katty Julieth Sanchez Arias;SUCRE;LOS_PALMITOS;5;PREFERENTE;OTRO
1235;Francisco Javier Gomez Diaz;SUCRE;LOS_PALMITOS;7;PREFERENTE;POLITICO
1236;Antonio Carlos Mogollon Castro;SUCRE;LOS_PALMITOS;8;PREFERENTE;CANTANTE
1237;Hilda Lucy Farak Fioco;SUCRE;LOS_PALMITOS;9;PREFERENTE;POLITICO
1238;Eduardo Efrain Aux Revelo;NARIÑO;CUASPUD_(CARLOSAMA);8;PREFERENTE;POLITICO
1239;Andres Felipe Lopez Ramirez;ANTIOQUIA;ITAGUI;1;PREFERENTE;POLITICO
1240;Jose Dario Abad Romero;ANTIOQUIA;ITAGUI;11;PREFERENTE;POLITICO
1241;Hernan Lozano Montenegro;VALLE;SEVILLA;5;PREFERENTE;OTRO
1242;Jose Barney Narvaez;VALLE;SEVILLA;6;PREFERENTE;CANTANTE
1243;Gloria Smith Castañeda Capera;VALLE;SEVILLA;10;PREFERENTE;ACTOR
1244;Jonathan Alirio Cortes Sanchez;ANTIOQUIA;AMAGA;6;PREFERENTE;POLITICO
1245;Hernando De Jesus Sanchez Osorio;CESAR;RIO_DE_ORO;6;PREFERENTE;CANTANTE
1246;Ana Libia Criollo Cuellar;TOLIMA;ATACO;4;PREFERENTE;POLITICO
1247;Zoila Soley Quitora Ospina;TOLIMA;ATACO;7;PREFERENTE;OTRO
1248;Luis Fernando Lopez Perez;ANTIOQUIA;ALEJANDRIA;0;NO APLICA;CANTANTE
1249;Fabian Marquez Castrillon;ANTIOQUIA;NARIÑO;11;PREFERENTE;POLITICO
1250;Oscar Vasquez Arias;CAQUETA;FLORENCIA;0;NO APLICA;CANTANTE
1251;Yamile Castañeda Sanchez;CUNDINAMARCA;GIRARDOT;15;PREFERENTE;CANTANTE
1252;Camilo Rodriguez Ramirez;CUNDINAMARCA;SUBACHOQUE;9;PREFERENTE;POLITICO
1253;Nicolas Antonio Piedrahita Buritica;ANTIOQUIA;AMALFI;7;PREFERENTE;CANTANTE
1254;Diego Alejandro Tobon Toro;ANTIOQUIA;AMALFI;10;PREFERENTE;CANTANTE
1255;Luz Marina Romero Gomez;CESAR;EL_PASO;3;PREFERENTE;OTRO
1256;Luz Elena Ruiz Zapata;ANTIOQUIA;HISPANIA;0;NO PREFERENTE;ACTOR
1257;Rubelio Antonio Arteaga Restrepo;ANTIOQUIA;AMALFI;10;PREFERENTE;CANTANTE
1258;Jaime Nassib Buelvas Bendeck;LA_GUAJIRA;BARRANCAS;6;PREFERENTE;OTRO
1259;Carmen Cecilia Pinto Diaz;LA_GUAJIRA;BARRANCAS;11;PREFERENTE;POLITICO
1260;Janeth Liliana Maigara Tascon;PUTUMAYO;ORITO;9;PREFERENTE;POLITICO
1261;Nazareth De Jesus Martinez De Calderon;ANTIOQUIA;MACEO;0;NO PREFERENTE;OTRO
1262;Maria Natalia Castañeda;ANTIOQUIA;SAN_RAFAEL;2;PREFERENTE;OTRO
1263;Yadnolver Correa Tamayo;HUILA;IQUIRA;0;NO APLICA;POLITICO
1264;Jose Mauricio Sepulveda Lozano;NORTE_DE_SANTANDER;CONVENCION;2;PREFERENTE;POLITICO
1265;Norberto Sepulveda Aguirre;CALDAS;MARQUETALIA;4;PREFERENTE;OTRO
1266;Luis Alberto Gallo;CALDAS;MARQUETALIA;7;PREFERENTE;POLITICO
1267;Deisy Yamile Guisa Quintero;CALDAS;MARQUETALIA;9;PREFERENTE;POLITICO
1268;Zico Antonio Suarez Suarez;BOYACA;CHIQUINQUIRA;0;NO APLICA;OTRO
1269;Jairo Martin Calvache Madroñero;PUTUMAYO;SANTIAGO;9;PREFERENTE;OTRO
